url,tencentOcrResult
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/03/074A5B6435E445DBA5C53D5F170DD568, 枯藤老树昏鸦
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/01/F702301553925D88945A42E154E64A45, 比喻
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/07/31/398A801E17F5FD3ECC6FD6DEACB32683, 《朝花夕 拾》
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/02/C3525930A6CF8C8EB4B41F59AED0F72E, 岛竦峙
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/05/76ED9F83090672C59F64DEE0A3233AF0, 我本来高兴地去， 不高兴了就回去
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/03/0946B8C0E7A33850520B0AE2510B09E6, 于美
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/07/31/A29F8B9BAECECB1539B40326A149AC43, 对未知的好奇
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/02/882A929F9AF4906D4894D38D40F947DE, 美好
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/02/2D837CAE5B829E92BC4E04569B214F8D, 门
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/03/2792F6CDEA111F54DABEE270183BAC1C, 孔明
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/01/B00085E98917398832C74E15F1D94D99, 小李世
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/05/829A94D60C812D4056369C0DE73F52C6, 有弟皆分散，无家问 死庄
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/06/A9795485163B27E939CB886849699170, OCR识别失败
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/01/65C9BA875E83743A755CEEB4B143BD8D, 拟物
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/05/E81104859B33FD9820FEEB54B9B700A9, 形一》名
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/05/69304F90F7F0C0CD9D9FA5402BD83809, 出
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/03/3BC2AA9D3E0DEE680C3857B7841CE8B2, zān
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/06/1166B8FA3D43CEF79F85011EE2FEC89B, 诗仙
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/05/607C54952A8FE399994C95ABB9ECB697, 找主语
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/05/BD3D67BF2A05D095B290FA5C3EAF3C89, 利
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/06/C024AA90E75F5E5B49D6F63B7D8740BA, A 四
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/05/A988C67A239040B55D9068FFBF80BA83, 软边弃
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/07/31/4BC73BDABC230370EDA7AFA96189CB30, 贺龙 有味，参
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/02/3E401C11CCA458A37E22BA02D701B5F3, Xuan
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/04/87EA19E002C93D6CAB939421071891EC, 为仙
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/05/F25891D3DD939A64D1FEA4D5C12A009A, 被请家长， 躲进网吧
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/05/566C0A33EEEDFBC64B841EA4DC98F085, 心
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/05/FDC86B486B6EA45ACF7FF13BBE6B7116, 调
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/05/710E6FBEB088470D2101E00E9EF89B6B, 名词，形容询
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/07/31/517E828136CF7EAACAF11BBB12B0064E, 相起 心
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/02/894C49063C20D6E0E614C4DB0BB55919, 描写
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/02/E2CC2B50D3CE82860A6B685136A40284, 悟能
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/03/894AE8449CAEC9C782A546C0BE1A6080, 外貌
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/01/F2DD047D09FF3C9550F373A97709073F, 走的那天，父亲上树为我摘苦柚
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/02/F35C890715A7AA84F7FE1520E0A73F4D, 《春秋》
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/07/31/CFAF61C8C8DB2B9A66FD78EAE6C7637E, 三调芭蕉扇
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/02/2ECA4AF8A1E904C23DB7959549B5D648, 4 7 一 I J
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/06/30A3BC6B481A8B21E1E9B5ADA90B837D, 甩动
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/01/238B2A2FE3151FE5A489CB360E98F39B, 物
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/01/282A9DAB3CB4EEADE6BC18121CBD1A47, 浩 、 if
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/01/B4C5F605DC7FB7C4AC24D3D82C118164, C
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/03/16D1C531013620B699D2EB3362C72B00, 比喻
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/06/E03C9F2035C20475534019C3347CD4E6, 形作动
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/05/E1A4257E4EF63B4E0FFCE46C909AADC8, 拟人
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/03/79E21605CFF9DB7657F8E682927DB7B3, 子规
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/06/491722F3204A485F489ABD12E61D0FCE, 青春须早为
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/06/187E286D4C5E49FC5F35E0FB9C1785B8, Chù
https://npad-static-cdn.xdf.cn/material/static/ai/answer/2023/08/06/267058F2A44E56C52517FABB5EBE074F, 杨梅
